hearing_id,segment_id,start_timestamp,end_timestamp,speaker_cluster,raw_text,input_path,human_text,speaker_correct,names_correct,technical_terms_correct,negation_correct,audio_verified,error_notes
h1_2025_12_03,h1_2025_12_03_s03045,04:24:25.540,04:24:27.221,SPEAKER_08,"Number two, a cleanup.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h1_2025_12_03,h1_2025_12_03_s03349,04:47:50.957,04:47:51.779,SPEAKER_25,I don't think we do.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s00000,00:00:00.945,00:00:11.469,SPEAKER_76,"We ask of you this evening to help us in our decisions for the community, for all of our people, based on the sound advice and information given to us, for a safe and economically viable county.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s00262,00:13:23.807,00:13:24.007,SPEAKER_69,Desco?,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s00525,00:38:58.860,00:39:00.401,SPEAKER_62,The hearing was made.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s00787,01:05:30.641,01:05:35.342,SPEAKER_19,I've watched with admiration Sangamon County's work on mental health.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s01050,01:30:30.349,01:30:31.469,SPEAKER_42,I think they're a great thing.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s01312,01:50:01.305,01:50:02.586,SPEAKER_13,And that's not going to stop.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s01575,02:10:43.997,02:10:50.722,SPEAKER_48,"Building trades had already walked out, so didn't hear that Cyrus One couldn't guarantee they'd hire even a single local laborer.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s01837,02:32:51.529,02:32:55.591,SPEAKER_70,"And if it's an active threat, they will not be going in there until...",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s02100,02:53:50.098,02:53:55.325,SPEAKER_21,"Now, that just kind of goes to say it's happened a lot to many people that worked in that plant.",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s02362,03:14:38.348,03:14:42.810,SPEAKER_06,The what ifs are happening in communities across this country.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s02625,03:36:00.926,03:36:01.526,SPEAKER_28,The ayes have it.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
h2_2026_03_23,h2_2026_03_23_s02887,03:55:42.724,03:55:44.005,SPEAKER_28,We stand adjourned.,/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,,,,,,,
